# PoB2 Mac 简体中文显示词典。英文与中文以 TAB 分隔。
New	新建
Is the enemy Pinned?	敌人是否被定身？
Is the enemy Unnerved?	敌人是否被恐惧？
Is the enemy covered in Ash?	敌人是否被灰烬覆盖？
Is the enemy covered in Frost?	敌人是否被霜冻覆盖？
Is the enemy	敌人是否
Chilled?	被冰缓？
Frozen?	被冻结？
Shocked?	被感电？
Burning?	在燃烧？
Ignited?	被点燃？
Endgame (-60%)	终局（-60%）
Enemy Max Resistance is always 75%	敌人最大抗性始终为 75%
% to not Consume	不消耗几率
Active Skill	主动技能
Added Max	附加最大值
Added Min	附加最小值
Ailment calculation mode	异常状态计算模式
All Types	全部类型
All items	全部装备
Area of Effect Mod	范围效果修正
Arm 1	手臂 1
Arm 2	手臂 2
Arm. as Deflection	护甲转偏斜
Attack time	攻击时间
Aura and Buff Skills	光环与增益技能
Auras	光环
Base from Armours	防具基础值
Base from Gear	装备基础值
Block Stun Duration	格挡眩晕时间
Block	格挡
Boss Skill Preset	首领技能预设
Chance to Blind	致盲几率
Chance to Daze	茫然几率
Character import status	角色导入状态
Not authenticated	尚未授权
Authenticated	已授权
Charge on crit %	暴击获得充能几率
Charges/s	每秒充能
Charms	护符
Combat Buffs	战斗增益
Config set	配置方案
Cooldown calculation mode	冷却计算模式
Crits	暴击
Curse Effect on You	受到的诅咒效果
Curse Limit	诅咒上限
Curses	诅咒
Curses and Debuffs	诅咒与减益
Damage Avoidance	伤害避免
Damage Taken	受到伤害
Damaging Hits	造成伤害的击中
Deflect Chance	偏斜几率
Deflect Effect	偏斜效果
Deflection Rating	偏斜值
Deflection	偏斜
Delirious Effect	惊悸迷雾效果
Dex. Required	敏捷需求
Distance to enemy	与敌人距离
DoT taken	受到的持续伤害
Dodge Chance	躲避几率
Dodge	躲避
Dots and Build Degens	持续伤害与自身流失
EHP calc unlucky	有效生命池不幸计算
Effective "Health" Pool	有效生命池
Effective Crit Chance	有效暴击率
Effective DoT Pool	持续伤害有效生命池
Elemental Resistance penalty	元素抗性惩罚
Enemy Ail. Thresh.	敌人异常状态门槛
Enemy Base Armour	敌人基础护甲
Enemy Block Chance	敌人格挡率
Enemy Conditions	敌人状态
Enemy Damage Type	敌人伤害类型
Enemy Damage	敌人伤害
Enemy Degens	敌人持续伤害
Enemy Modifiers	敌人词缀
Enemy Phys. Damage Reduction	敌人物理伤害减免
Enemy Skill Physical Damage	敌人技能物理伤害
Enemy Skill Physical Overwhelm	敌人技能物理压制
Enemy Skill	敌人技能
Cold Pen	冰霜穿透
Fire Pen	火焰穿透
Lightning Pen	闪电穿透
Enemy attack / cast time in ms	敌人攻击 / 施法时间（毫秒）
Enemy critical strike chance	敌人暴击率
Enemy critical strike multiplier	敌人暴击伤害倍率
Enemy miss chance	敌人未命中几率
Enter a build code/URL below	在下方输入配装代码或链接
Eva. as Deflection	闪避转偏斜
Exposure Effect	曝露效果
Flasks	药剂
Gem Req Mod	宝石需求修正
Global Base	全局基础值
Hit taken Mult.	受到击中伤害倍率
Hit taken	受到击中伤害
Hits before death	可承受击中次数
Inc. Charges Gain	充能获取提高
Inc. Charges Used	充能消耗提高
Inc. Duration	持续时间提高
Inc. Effect	效果提高
Inc. Item Quantity	物品数量提高
Inc. Item Rarity	物品稀有度提高
Inc. Quiver Effect	箭袋效果提高
Inc. from Tree	天赋提高值
Int. Required	智慧需求
Item Req Mod	装备需求修正
Leg 1	腿部 1
Leg 2	腿部 2
Life Flasks	生命药剂
Light Radius Mod	照亮范围修正
Link Skills	链接技能
Att. per second	每秒攻击次数
Crit Effect Mod	暴击效果修正
Eff. DPS Mod	有效 DPS 修正
Hit Damage	击中伤害
Inc. Att. Speed	攻击速度提高
Inc. Crit Chance	暴击率提高
More Att. Speed	攻击速度额外提高
Total Increased	合计提高
Total More	合计额外提高
MS While Casting	施法时移动速度
Mana Flasks	魔力药剂
Maximum Hit Taken	最大承受击中
Mitigated hits	减免后的击中
Movement Speed Modifier	移动速度修正
Non-Damaging Ailments	非伤害型异常状态
Other Ailment Defences	其他异常状态防御
Other Avoidance	其他避免机制
Other Defences	其他防御
Party Member Stats	队友属性
Phys. Damage Reduction	物理伤害减免
Phys. Dmg. Reduct	物理伤害减免
Presence Radius	影响范围半径
Rebuild All	全部重新计算
Recharge Delay	充能延迟
Recharge Rate	充能速度
Recoup and Hit Taken Over Time	补偿及击中伤害分摊
Recovery	回复
Reserved	已保留
Resists	抗性
Shared items	共享装备
Show Advanced Info	显示详细信息
Skill DPS	技能 DPS
Socket Groups	技能组
Spell Ddg. Chance	法术躲避几率
Stat Set	属性组
Str. Required	力量需求
Strike Targets	打击目标数
Stun Buildup	眩晕积累
Stun Duration	眩晕时间
Surrounded Radius	包围判定半径
Taken As	承受伤害转化
Taken From Block	格挡后承受伤害
Time before death	可存活时间
Total Base	基础总计
Total Pool	总生命池
Unmitigated %	未减免比例
Unreserved	未保留
Usage Tips	使用提示
Utility Flasks	功能药剂
View Skill Details	查看技能详情
Warcry Skills	战吼技能
Weap. Swap Speed	武器切换速度
Weapon Range	武器范围
Weapon Req Mod	武器需求修正
Wither Effect	凋零效果
Elemental Max Hit	最大承受元素击中
Phys Max Hit	最大承受物理击中
Chaos Max Hit	最大承受混沌击中
%Inc Life	生命提高百分比
# 导入、分享与常用操作。保留英文数据及账号名称。
Build Import	导入配装
Import Error	导入错误
Import as comparison	导入为对比配装
Imported comparison	已导入的对比配装
Imported build	已导入配装
Importing the passive tree will overwrite your current tree.	导入天赋树将覆盖当前天赋树。
Importing to the current build will erase ALL existing data for this build.	导入当前配装将清除该配装的全部现有数据。
This is for party play, to export support character, it enables the exporting of auras, curses and modifiers to the enemy	用于组队：导出辅助角色的光环、诅咒及施加给敌人的效果。
Error creating link:	生成链接失败：
Authentication failed:	授权失败：
Invalid input	输入无效
Invalid JSON format (decode error)	JSON 格式无效（解析失败）
Invalid JSON format (character missing)	JSON 格式无效（缺少角色数据）
Invalid JSON format (equipment or passives missing)	JSON 格式无效（缺少装备或天赋数据）
JSON is valid	JSON 有效
Code is valid	配装代码有效
Retrieving paste..	正在获取配装…
Retrieving character list...	正在获取角色列表…
Sign-in is required.	需要先登录。
Account profile is private.	账号资料未公开。
Account name is incorrect.	账号名称不正确。
Error processing character list, try again later	处理角色列表失败，请稍后重试
The account has no characters to import.	该账号没有可导入的角色。
Character list successfully retrieved.	已成功获取角色列表。
Standard	标准
Hardcore	专家
SSF Standard	独狼标准
SSF Hardcore	独狼专家
Re-import Current	重新导入当前角色
Re-import character from the game server:	从游戏服务器重新导入角色：
Re-import the currently selected character.	重新导入当前所选角色。
Refreshes passive tree, jewels, items, and skills.	更新天赋树、珠宝、装备与技能。
No character selected.	尚未选择角色。
Go to Import/Export Build tab and select a character first.	请先到“导入 / 导出”页选择角色。
Tree set:	天赋方案：
Stages:	阶段数：
Mines:	地雷数：
Show only differences	仅显示差异
Overlay comparison	叠加对比
Expanded mode	展开模式
Copy tree	复制天赋树
Copy and use	复制并使用
-- Select Metric --	-- 选择指标 --
Select a metric to calculate power report	选择指标以计算强度报告
Skill gems:	技能宝石：
Support gems:	辅助宝石：
Config:	配置：
Paste a build code or URL to import as comparison:	粘贴配装代码或链接，导入为对比配装：
Name (optional)	名称（可选）
Import from Folder	从文件夹导入
Build file is empty or unreadable.	配装文件为空或无法读取。
Failed to import build for comparison.	导入对比配装失败。
Compare Build	对比配装
Chaos Resistance: Immune	混沌抗性：免疫
# 技能页说明；此 Mac 移植版将界面中的 Ctrl 映射为 Cmd。
Not Corrupted	未腐化
+1 to Gem Level	宝石等级 +1
-1 to Gem Level	宝石等级 -1
Show legacy gems:	显示旧版宝石：
Label	标签
Count:	数量：
Gem name:	宝石名称：
Corrupt:	腐化：
Select the item in which this skill is socketed.	选择此技能所在的装备。
This will allow the skill to benefit from modifiers on the item that affect socketed gems.	该技能可获得装备上影响插槽内宝石的词缀效果。
No item is equipped in this slot.	此部位未装备物品。
Disabling this group will give you:	禁用此技能组后的变化：
Enabling this group will give you:	启用此技能组后的变化：
You cannot delete this group, but it will disappear if you lose the above sources.	此技能组无法删除；失去上述来源后会自动消失。
Remove this gem.	移除此宝石。
At +20% Quality:	品质为 +20% 时：
Setting to 20 quality will give you:	品质设为 20 后的变化：
Disabling this gem will give you:	禁用此宝石后的变化：
Enabling this gem will give you:	启用此宝石后的变化：
Note: this group is disabled because it is socketed in the inactive weapon set.	提示：此技能组位于未启用的武器组中，因此已禁用。
Inactive Gems:	未生效宝石：
All gems default to their highest valid non-corrupted gem level.	所有宝石默认使用未腐化时的最高有效等级。
Normal gems default to their highest valid corrupted gem level.	普通宝石默认使用腐化后的最高有效等级。
Awakened gems default to their highest valid non-corrupted gem level.	觉醒宝石默认使用未腐化时的最高有效等级。
All gems default to their highest valid non-corrupted gem level that your character meets the level requirement for.	宝石默认使用角色等级允许的最高未腐化等级。
This hides gems with a minimum level requirement above your character level, preventing them from showing up in the dropdown list.	最低等级需求高于角色等级的宝石不会显示在下拉列表中。
- You can copy/paste socket groups using Ctrl+C and Ctrl+V.	- 用 Cmd+C / Cmd+V 复制、粘贴技能组。
- Ctrl + Click to enable/disable socket groups.	- 按住 Cmd 点击可启用或禁用技能组。
- Ctrl + Right click to include/exclude in FullDPS calculations.	- 按住 Cmd 右键点击可切换是否计入总 DPS。
- Right click to set as the Main skill group.	- 右键点击可设为主要技能组。
Note: `count` numeric value scales the DPS of associated skill by a scalar.	提示：“数量”会按所填数值倍乘相关技能的 DPS。
To be used with totems, minions, shot-gunning of projectiles (e.g., VD, magma-orbs),	适用于图腾、召唤生物、多个投射物重叠击中，
multi-hit projectiles (e.g. ball-lightning), traps, mines.	以及可多次击中的投射物、陷阱和地雷。
# 装备、备注与计算页。
Contains searches from the official trading site to help find	使用官方交易网站搜索，寻找
similar or better items for this build	适合此配装的相近或更强装备
Double-click an item from one of the lists,	双击列表中的物品，
or copy and paste an item from in game	或从游戏中复制并粘贴物品
(hover over the item and Ctrl+C) to view or edit	（悬停物品并复制），即可查看、编辑
the item and add it to your build. You can	并加入配装。也可在 PoB 内
also clone an item within Path of Building by	使用 Cmd+C 和 Cmd+V
copying and pasting it with Ctrl+C and Ctrl+V.	复制物品来创建副本。
You can Control + Click an item to equip it, or	按住 Cmd 点击物品即可装备，或
drag it onto the slot.  This will also add it to	将其拖到装备部位；来自传奇装备或
your build if it's from the unique/template list.	模板列表的物品也会加入当前配装。
If there's 2 slots an item can go in,	若物品有两个可装备部位，
holding Shift will put it in the second.	按住 Shift 可装备到第二个部位。
This is a list of items that will be shared between all of	此列表中的装备可供你的所有
your builds.	配装共享。
You can add items to this list by dragging them from	可从其他列表拖入物品，
one of the other lists.	将其加入此列表。
This is the list of items that have been added to this build.	此列表显示已加入当前配装的装备。
one of the other lists, or by clicking 'Add to build' when	也可在查看物品时点击“加入配装”，
viewing an item.	将该物品添加到列表。
Type:	类型：
Base:	基底：
Source:	来源：
Sort by:	排序方式：
Modifier:	词缀：
Affix:	词缀：
Tags:	标签：
Tiers	阶级
Enchants	附魔
Roll Ranges	数值范围
Anoint 2...	涂油 2…
Anoint 3...	涂油 3…
Anoint 4...	涂油 4…
The item is invalid.	物品格式无效。
Check that the item's title and base name are in the correct format.	请检查物品名称与基底名称的格式。
For Rare and Unique items, the first 2 lines must be the title and base name. E.g.:	稀有与传奇物品的前两行须依次为名称、基底名称。例如：
For Normal and Magic items, the base name must be somewhere in the first line. E.g.:	普通与魔法物品的第一行须包含基底名称。例如：
Adding this mod will give:	添加此词缀后的变化：
Unknown Item	未知物品
Item base is not supported by the current version.	当前版本尚不支持此物品基底。
Variant:	版本：
Exclusive to:	限定来源：
Not yet available	尚不可获得
Charm Slots:	护符栏位：
Elemental DPS:	元素 DPS：
Critical Hit Chance:	暴击率：
Attacks per Second:	每秒攻击次数：
Reload Time:	装填时间：
Chance to Block:	格挡率：
Runic Ward:	符文守护：
Limited to:	上限：
Requires Class	职业需求
Radius:	半径：
Attributes in Radius:	范围内属性：
Jewel Socket	珠宝插槽
Twice Corrupted	已双重腐化
Mirrored	已镜像
Tip: Hold Shift to display a tooltip for the granted skill	提示：按住 Shift 查看所提供技能的说明
Tip: Press Ctrl+D to enable the display of stat differences.	提示：按 Cmd+D 显示属性差异。
Tip: Press Ctrl+D to disable the display of stat differences.	提示：按 Cmd+D 隐藏属性差异。
Effective flask stats:	药剂实际效果：
Effective charm stats:	护符实际效果：
Hide Color Codes	隐藏颜色代码
You can use Ctrl +/- (or Ctrl+Scroll) to zoom in and out and Ctrl+0 to reset.	按 Cmd 加 + / -（或滚轮）缩放，Cmd+0 重置。
This field also supports different colors.  Using the caret symbol (^) followed by a Hex code or a number (0-9) will set the color.	备注支持彩色文字：输入 ^ 后接十六进制颜色代码或数字 0–9 来设定颜色。
Below are some common color codes PoB uses:	以下是 PoB 常用的颜色代码：
In Combat	战斗中
Socket Group	技能组
Skill Part	技能阶段
Skill Stages	技能阶段数
Active Mines	已部署地雷
Spectre:	灵体：
Companion:	伙伴：
Spectre Library	灵体库
Beast Library	野兽库
Minion Skill	召唤生物技能
Minion Skill Stat Set	召唤生物技能属性组
Calculation Mode	计算模式
Calc Mode	计算模式
Aura/Buff Skills	光环 / 增益技能
Points used:	已用天赋点：
Jewel sockets:	珠宝插槽：
Switching to this tree will give you:	切换到此天赋树后的变化：
Game Version:	游戏版本：
Warning: resetting your passive tree cannot be undone.	警告：重置天赋树无法撤销。
Limit of Node distance to search (lower = faster)	搜索节点距离上限（越小越快）
This is an older tree version, which may not be fully compatible with the current game version.	此为旧版天赋树，可能与当前游戏版本不完全兼容。
Warning: some or all of the passives may be de-allocated due to changes in the tree.	警告：天赋树改动可能导致部分或全部天赋点被取消分配。
Enter name for this passive tree:	输入此天赋树的名称：
Enter passive tree link:	输入天赋树链接：
Resolving PoEURL link...	正在解析 PoEURL 链接…
Passive tree link:	天赋树链接：
This config option is conditional with missing source and is invalid.	此配置依赖的来源不存在，因此设置无效。
# 常用战斗配置；仅翻译界面标签，不修改条件、数值及计算。
Act 1 (0%)	第 1 章（0%）
Act 2 (-10%)	第 2 章（-10%）
Act 3 (-20%)	第 3 章（-20%）
Act 4 (-30%)	第 4 章（-30%）
Act 5 (-40%)	第 5 章（-40%）
Act 6 (-50%)	第 6 章（-50%）
Enemy Corpse Life:	敌人尸体生命：
Current Mana %:	当前魔力百分比：
Time spent stationary	静止时长
